movie_id	movie_title	release_date	genre_1	genre_2	genre_3	genre_4	genre_5	genre_6	genre_7	genre_8	genre_9	genre_10	genre_11	genre_12	genre_13	genre_14	genre_15	genre_16	genre_17	genre_18	genre_19	average_rating	rating_count
1	Toy Story (1995)	1995	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8783185840707963	452
2	GoldenEye (1995)	1995	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.2061068702290076	131
3	Four Rooms (1995)	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.033333333333333	90
4	Get Shorty (1995)	1995	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3.550239234449761	209
5	Copycat (1995)	1995	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3.302325581395349	86
6	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.576923076923077	26
7	Twelve Monkeys (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3.798469387755102	392
8	Babe (1995)	1995	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3.9954337899543377	219
9	Dead Man Walking (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.8963210702341136	299
10	Richard III (1995)	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3.831460674157303	89
11	Seven (Se7en) (1995)	1995	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3.847457627118644	236
12	Usual Suspects, The (1995)	1995	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4.385767790262173	267
13	Mighty Aphrodite (1995)	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4184782608695654	184
14	Postino, Il (1994)	1994	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3.9672131147540983	183
15	Mr. Holland's Opus (1995)	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.7781569965870307	293
16	French Twist (Gazon maudit) (1995)	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3.2051282051282053	39
17	From Dusk Till Dawn (1996)	1996	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	3.119565217391304	92
18	White Balloon, The (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.8	10
19	Antonia's Line (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.9565217391304346	69
20	Angels and Insects (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3.4166666666666665	72
21	Muppet Treasure Island (1996)	1996	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2.761904761904762	84
22	Braveheart (1995)	1996	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4.151515151515151	297
23	Taxi Driver (1976)	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4.1208791208791204	182
24	Rumble in the Bronx (1995)	1996	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3.4482758620689653	174
25	Birdcage, The (1996)	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4436860068259385	293
26	Brothers McMullen, The (1995)	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.452054794520548	73
27	Bad Boys (1995)	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1052631578947367	57
28	Apollo 13 (1995)	1995	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3.931159420289855	276
29	Batman Forever (1995)	1995	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2.6666666666666665	114
30	Belle de jour (1967)	1967	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.945945945945946	37
31	Crimson Tide (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3.6298701298701297	154
32	Crumb (1994)	1994	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.7901234567901234	81
33	Desperado (1995)	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3.4536082474226806	97
34	Doom Generation, The (1995)	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2.7142857142857144	7
35	Free Willy 2: The Adventure Home (1995)	1995	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.1818181818181817	11
36	Mad Love (1995)	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2.1538461538461537	13
37	Nadja (1994)	1994	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.25	8
38	Net, The (1995)	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3.0083333333333333	120
39	Strange Days (1995)	1995	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3.264367816091954	87
40	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8947368421052633	57
41	Billy Madison (1995)	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.081081081081081	37
42	Clerks (1994)	1994	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.804054054054054	148
